Source	Destination
/about.html	/about
/adventures.html	/adventures
/basecamp.html	/basecamp
/blog/alpine-cycling.html	/blog/alpine-cycling
/blog/desert-survival-guide.html	/blog/desert-survival-guide
/blog/kayaking-norway.html	/blog/kayaking-norway
/blog/mountain-photography.html	/blog/mountain-photography
/blog/patagonia-trek.html	/blog/patagonia-trek
/blog/surfing-costa-rica.html	/blog/surfing-costa-rica
/blog/ultralight-backpacking.html	/blog/ultralight-backpacking
/blog/wild-swimming-guide.html	/blog/wild-swimming-guide
/blog/winter-mountaineering.html	/blog/winter-mountaineering
/blog/yosemite-rock-climbing.html	/blog/yosemite-rock-climbing
/community.html	/community
/destinations.html	/destinations
/expeditions.html	/expeditions
/faq.html	/faq
/field-notes.html	/field-notes
/gear.html	/gear
/index.html	/
/sustainability.html	/sustainability
